WKT,element
"POLYGON ((378832.069 4657636.279 0.0,378824.589 4657650.999 0.0,378838.189 4657657.499 0.0,378832.069 4657636.279 0.0))",148
"POLYGON ((378850.129 4657636.879 0.0,378832.069 4657636.279 0.0,378838.189 4657657.499 0.0,378850.129 4657636.879 0.0))",149
"POLYGON ((378702.099 4658084.999 0.0,378705.419 4658069.119 0.0,378684.679 4658071.139 0.0,378702.099 4658084.999 0.0))",150
"POLYGON ((378703.869 4657514.379 0.0,378723.529 4657493.929 0.0,378690.759 4657487.539 0.0,378703.869 4657514.379 0.0))",151
"POLYGON ((378374.909 4656799.319 0.0,378402.709 4656799.739 0.0,378391.929 4656777.599 0.0,378374.909 4656799.319 0.0))",152
"POLYGON ((378687.179 4658145.039 0.0,378691.809 4658130.719 0.0,378671.999 4658130.999 0.0,378687.179 4658145.039 0.0))",153
"POLYGON ((378691.809 4658130.719 0.0,378690.889 4658113.989 0.0,378671.999 4658130.999 0.0,378691.809 4658130.719 0.0))",154
"POLYGON ((378444.369 4656724.929 0.0,378422.809 4656709.059 0.0,378419.749 4656734.459 0.0,378444.369 4656724.929 0.0))",155
"POLYGON ((378370.819 4656773.259 0.0,378391.929 4656777.599 0.0,378378.669 4656750.369 0.0,378370.819 4656773.259 0.0))",156
"POLYGON ((378352.139 4656756.709 0.0,378370.819 4656773.259 0.0,378378.669 4656750.369 0.0,378352.139 4656756.709 0.0))",157
"POLYGON ((379016.859 4657487.849 0.0,379008.419 4657499.229 0.0,379023.429 4657501.089 0.0,379016.859 4657487.849 0.0))",158
"POLYGON ((378884.829 4657529.119 0.0,378872.999 4657535.059 0.0,378883.989 4657543.469 0.0,378884.829 4657529.119 0.0))",159
"POLYGON ((378352.139 4656756.709 0.0,378349.289 4656783.519 0.0,378370.819 4656773.259 0.0,378352.139 4656756.709 0.0))",160
"POLYGON ((378735.419 4658050.799 0.0,378756.589 4658050.339 0.0,378744.049 4658033.479 0.0,378735.419 4658050.799 0.0))",161
"POLYGON ((378996.439 4657593.599 0.0,379006.109 4657583.079 0.0,378989.259 4657579.039 0.0,378996.439 4657593.599 0.0))",162
"POLYGON ((378831.169 4657893.539 0.0,378854.809 4657891.499 0.0,378836.849 4657871.359 0.0,378831.169 4657893.539 0.0))",163
"POLYGON ((378830.329 4657926.569 0.0,378837.409 4657948.499 0.0,378843.189 4657929.499 0.0,378830.329 4657926.569 0.0))",164
"POLYGON ((378344.719 4656718.299 0.0,378366.939 4656732.819 0.0,378362.809 4656703.489 0.0,378344.719 4656718.299 0.0))",165
"POLYGON ((378333.249 4656698.329 0.0,378344.719 4656718.299 0.0,378362.809 4656703.489 0.0,378333.249 4656698.329 0.0))",166
"POLYGON ((377252.761 4653197.521 0.0,377323.81 4653362.462 0.0,377538.729 4653196.747 0.0,377252.761 4653197.521 0.0))",167
"POLYGON ((377323.81 4653362.462 0.0,377252.761 4653197.521 0.0,377082.361 4653250.139 0.0,377323.81 4653362.462 0.0))",168
"POLYGON ((378691.729 4658054.939 0.0,378667.309 4658059.499 0.0,378684.679 4658071.139 0.0,378691.729 4658054.939 0.0))",169
"POLYGON ((378222.029 4656500.509 0.0,378191.609 4656500.979 0.0,378206.209 4656527.039 0.0,378222.029 4656500.509 0.0))",170
"POLYGON ((378403.699 4656901.879 0.0,378426.139 4656891.539 0.0,378392.649 4656875.769 0.0,378403.699 4656901.879 0.0))",171
"POLYGON ((378426.139 4656891.539 0.0,378417.009 4656863.299 0.0,378392.649 4656875.769 0.0,378426.139 4656891.539 0.0))",172
"POLYGON ((378765.799 4658126.909 0.0,378749.309 4658125.649 0.0,378758.079 4658137.259 0.0,378765.799 4658126.909 0.0))",173
"POLYGON ((378463.409 4657035.079 0.0,378483.349 4657017.429 0.0,378449.609 4657008.589 0.0,378463.409 4657035.079 0.0))",174
"POLYGON ((378390.619 4656713.349 0.0,378397.679 4656743.009 0.0,378419.749 4656734.459 0.0,378390.619 4656713.349 0.0))",175
"POLYGON ((378872.999 4657535.059 0.0,378866.909 4657551.009 0.0,378883.989 4657543.469 0.0,378872.999 4657535.059 0.0))",176
"POLYGON ((378857.149 4657530.919 0.0,378866.909 4657551.009 0.0,378872.999 4657535.059 0.0,378857.149 4657530.919 0.0))",177
