WKT,node
"POINT (378766.139 4657412.239 0.0)",434
"POINT (378724.839 4657399.059 0.0)",435
"POINT (378747.589 4657401.409 0.0)",436
"POINT (378995.049 4657643.279 0.0)",437
"POINT (378975.729 4657655.289 0.0)",438
"POINT (378960.409 4657657.499 0.0)",439
"POINT (378986.479 4657636.269 0.0)",440
"POINT (379003.779 4657603.749 0.0)",441
"POINT (378989.529 4657606.129 0.0)",442
"POINT (379019.299 4657588.539 0.0)",443
"POINT (378687.189 4657401.649 0.0)",444
"POINT (378633.989 4657382.649 0.0)",445
"POINT (378660.199 4657390.779 0.0)",446
"POINT (378940.279 4657476.439 0.0)",447
"POINT (378938.319 4657459.729 0.0)",448
"POINT (378952.159 4657482.239 0.0)",449
"POINT (378926.769 4657457.619 0.0)",450
"POINT (378905.629 4657446.679 0.0)",451
"POINT (378974.009 4657474.469 0.0)",452
"POINT (378965.879 4657464.009 0.0)",453
"POINT (378983.299 4657467.529 0.0)",454
"POINT (378986.139 4657477.929 0.0)",455
"POINT (379001.059 4657509.699 0.0)",456
"POINT (378991.059 4657499.989 0.0)",457
"POINT (379010.339 4657520.929 0.0)",458
"POINT (379022.189 4657522.999 0.0)",459
"POINT (378887.159 4657418.319 0.0)",460
"POINT (378902.429 4657431.469 0.0)",461
"POINT (378801.049 4657409.439 0.0)",462
"POINT (378815.609 4657380.999 0.0)",463
"POINT (378789.299 4657393.849 0.0)",464
"POINT (378831.359 4657404.859 0.0)",465
"POINT (378860.759 4657390.629 0.0)",466
"POINT (378863.139 4657404.229 0.0)",467
"POINT (378702.849 4657386.779 0.0)",468
"POINT (378770.669 4657396.209 0.0)",469
"POINT (378730.379 4657378.509 0.0)",470
"POINT (378757.999 4657381.129 0.0)",471
"POINT (378985.069 4657665.589 0.0)",472
"POINT (378986.369 4657654.559 0.0)",473
"POINT (379007.659 4657645.059 0.0)",474
"POINT (378967.809 4657675.999 0.0)",475
"POINT (378996.739 4657619.399 0.0)",476
"POINT (379014.759 4657636.529 0.0)",477
"POINT (379003.489 4657632.259 0.0)",478
"POINT (379016.829 4657601.439 0.0)",479
"POINT (379010.499 4657611.009 0.0)",480
"POINT (379031.009 4657596.579 0.0)",481
"POINT (378677.469 4657370.689 0.0)",482
"POINT (378649.069 4657361.529 0.0)",483
"POINT (378917.369 4657434.839 0.0)",484
"POINT (378953.979 4657463.809 0.0)",485
"POINT (378919.079 4657448.339 0.0)",486
"POINT (378975.249 4657459.239 0.0)",487
"POINT (378963.649 4657451.799 0.0)",488
"POINT (378989.219 4657455.119 0.0)",489
"POINT (379004.599 4657463.119 0.0)",490
"POINT (379015.169 4657458.089 0.0)",491
"POINT (378995.589 4657471.219 0.0)",492
"POINT (378997.879 4657486.009 0.0)",493
"POINT (379008.419 4657499.229 0.0)",494
"POINT (379015.669 4657510.909 0.0)",495
"POINT (378899.799 4657418.089 0.0)",496
"POINT (378890.809 4657404.909 0.0)",497
"POINT (378914.119 4657418.809 0.0)",498
"POINT (378818.749 4657400.129 0.0)",499
"POINT (378803.319 4657392.869 0.0)",500
"POINT (378847.919 4657387.469 0.0)",501
"POINT (378836.019 4657391.379 0.0)",502
"POINT (378876.339 4657396.089 0.0)",503
"POINT (378687.509 4657347.199 0.0)",504
"POINT (378727.479 4657351.599 0.0)",505
"POINT (378704.009 4657361.349 0.0)",506
"POINT (378769.329 4657362.639 0.0)",507
"POINT (378779.149 4657380.369 0.0)",508
"POINT (378748.919 4657361.289 0.0)",509
"POINT (378973.499 4657694.999 0.0)",510
"POINT (378978.589 4657714.499 0.0)",511
"POINT (379002.689 4657661.269 0.0)",512
"POINT (379022.329 4657651.959 0.0)",513
"POINT (378992.729 4657680.829 0.0)",514
"POINT (379024.939 4657604.469 0.0)",515
"POINT (379011.279 4657622.289 0.0)",516
"POINT (379018.779 4657612.529 0.0)",517
"POINT (379039.339 4657602.459 0.0)",518
"POINT (379037.999 4657587.499 0.0)",519
"POINT (378621.649 4657355.449 0.0)",520
"POINT (378664.999 4657341.189 0.0)",521
"POINT (378929.949 4657421.189 0.0)",522
"POINT (378950.049 4657446.459 0.0)",523
"POINT (378933.019 4657442.569 0.0)",524
"POINT (378975.089 4657444.959 0.0)",525
"POINT (378999.159 4657452.159 0.0)",526
"POINT (378984.379 4657440.399 0.0)",527
"POINT (379010.899 4657475.829 0.0)",528
"POINT (379023.429 4657501.089 0.0)",529
"POINT (379016.859 4657487.849 0.0)",530
"POINT (379039.309 4657539.499 0.0)",531
"POINT (379041.589 4657553.999 0.0)",532
"POINT (379037.499 4657527.499 0.0)",533
"POINT (379036.409 4657519.499 0.0)",534
"POINT (379028.589 4657511.499 0.0)",535
"POINT (378889.129 4657388.799 0.0)",536
"POINT (378899.889 4657394.289 0.0)",537
"POINT (378908.029 4657404.919 0.0)",538
"POINT (378827.469 4657385.269 0.0)",539
"POINT (378798.169 4657375.009 0.0)",540
"POINT (378840.329 4657378.919 0.0)",541
"POINT (378861.649 4657363.269 0.0)",542
"POINT (378854.889 4657377.029 0.0)",543
"POINT (378874.909 4657377.099 0.0)",544
"POINT (378874.299 4657360.399 0.0)",545
"POINT (378889.589 4657375.539 0.0)",546
"POINT (378707.369 4657337.309 0.0)",547
"POINT (378685.229 4657324.979 0.0)",548
"POINT (378801.819 4657352.749 0.0)",549
"POINT (378784.959 4657364.079 0.0)",550
"POINT (378744.519 4657342.399 0.0)",551
"POINT (378763.059 4657345.569 0.0)",552
"POINT (378729.679 4657328.739 0.0)",553
"POINT (379004.149 4657706.219 0.0)",554
"POINT (378982.999 4657731.499 0.0)",555
"POINT (378995.409 4657779.999 0.0)",556
"POINT (379042.589 4657564.999 0.0)",557
"POINT (379043.089 4657578.999 0.0)",558
"POINT (379023.619 4657677.079 0.0)",559
"POINT (379031.719 4657613.239 0.0)",560
"POINT (379027.219 4657628.939 0.0)",561
"POINT (379036.309 4657661.049 0.0)",562
"POINT (379048.569 4657590.599 0.0)",563
"POINT (379076.909 4657875.579 0.0)",564
"POINT (378638.399 4657333.579 0.0)",565
"POINT (378593.679 4657303.079 0.0)",566
"POINT (378608.619 4657328.909 0.0)",567
"POINT (378657.769 4657312.249 0.0)",568
"POINT (378605.479 4657280.189 0.0)",569
"POINT (378580.479 4657276.609 0.0)",570
"POINT (378569.089 4657249.029 0.0)",571
"POINT (378947.569 4657429.879 0.0)",572
"POINT (378962.799 4657436.219 0.0)",573
"POINT (378975.629 4657430.599 0.0)",574
"POINT (378988.149 4657429.969 0.0)",575
"POINT (378995.459 4657414.229 0.0)",576
"POINT (378993.789 4657441.329 0.0)",577
"POINT (379023.849 4657472.819 0.0)",578
"POINT (379032.549 4657485.059 0.0)",579
"POINT (379057.249 4657542.739 0.0)",580
"POINT (379058.349 4657561.089 0.0)",581
"POINT (379064.309 4657528.909 0.0)",582
"POINT (379048.939 4657525.749 0.0)",583
"POINT (379039.899 4657497.609 0.0)",584
"POINT (379046.169 4657510.249 0.0)",585
"POINT (378945.719 4657409.059 0.0)",586
"POINT (378899.939 4657382.269 0.0)",587
"POINT (378911.529 4657390.539 0.0)",588
"POINT (378924.849 4657403.459 0.0)",589
"POINT (378939.679 4657393.539 0.0)",590
"POINT (378829.149 4657370.559 0.0)",591
"POINT (378816.789 4657362.159 0.0)",592
"POINT (378845.319 4657364.469 0.0)",593
"POINT (378867.709 4657352.019 0.0)",594
"POINT (378898.739 4657366.759 0.0)",595
"POINT (378886.769 4657363.249 0.0)",596
"POINT (378683.359 4657296.469 0.0)",597
"POINT (378709.779 4657310.899 0.0)",598
"POINT (378783.659 4657344.639 0.0)",599
"POINT (378752.979 4657325.679 0.0)",600
"POINT (378770.619 4657330.169 0.0)",601
"POINT (378735.869 4657302.969 0.0)",602
"POINT (379014.499 4657825.999 0.0)",603
"POINT (379045.859 4657702.759 0.0)",604
"POINT (379077.819 4657695.669 0.0)",605
"POINT (379025.969 4657738.119 0.0)",606
"POINT (379044.169 4657776.349 0.0)",607
