WKT,element
"POLYGON ((583549.211 5035368.652,583559.605 5035380.708,583505.559 5035407.731,583549.211 5035368.652))",213
"POLYGON ((583530.088 5035339.966,583559.605 5035380.708,583549.211 5035368.652,583530.088 5035339.966))",214
"POLYGON ((583565.36 5035356.992,583600.697 5035387.913,583572.843 5035386.094,583565.36 5035356.992))",215
"POLYGON ((583565.36 5035356.992,583578.247 5035328.878,583600.697 5035387.913,583565.36 5035356.992))",216
"POLYGON ((583600.697 5035387.913,583591.967 5035408.544,583572.843 5035386.094,583600.697 5035387.913))",217
"POLYGON ((583565.36 5035356.992,583572.843 5035386.094,583559.605 5035380.708,583565.36 5035356.992))",218
"POLYGON ((583530.088 5035339.966,583549.211 5035368.652,583505.559 5035407.731,583530.088 5035339.966))",219
"POLYGON ((583572.843 5035386.094,583580.807 5035405.236,583559.605 5035380.708,583572.843 5035386.094))",220
"POLYGON ((583522.189 5035473.833,583505.559 5035407.731,583569.998 5035400.248,583522.189 5035473.833))",221
"POLYGON ((583569.998 5035400.248,583505.559 5035407.731,583559.605 5035380.708,583569.998 5035400.248))",222
"POLYGON ((583559.605 5035380.708,583580.807 5035405.236,583569.998 5035400.248,583559.605 5035380.708))",223
"POLYGON ((583580.807 5035405.236,583589.538 5035426.855,583569.998 5035400.248,583580.807 5035405.236))",224
"POLYGON ((583572.843 5035386.094,583591.967 5035408.544,583580.807 5035405.236,583572.843 5035386.094))",225
"POLYGON ((584296.847 5035416.858,584277.515 5035410.362,584338.213 5035334.699,584296.847 5035416.858))",226
"POLYGON ((583589.538 5035426.855,583580.807 5035405.236,583591.967 5035408.544,583589.538 5035426.855))",227
"POLYGON ((583591.967 5035408.544,583600.697 5035387.913,583628.967 5035427.823,583591.967 5035408.544))",228
"POLYGON ((583483.46 5035455.262,583457.684 5035398.722,583505.559 5035407.731,583483.46 5035455.262))",229
"POLYGON ((583434.403 5035355.485,583505.559 5035407.731,583457.684 5035398.722,583434.403 5035355.485))",230
"POLYGON ((583565.36 5035356.992,583559.605 5035380.708,583530.088 5035339.966,583565.36 5035356.992))",231
"POLYGON ((583177.467 5035398.779,583191.405 5035411.766,583180.776 5035426.355,583177.467 5035398.779))",232
"POLYGON ((584356.297 5035333.711,584296.847 5035416.858,584338.213 5035334.699,584356.297 5035333.711))",233
"POLYGON ((583151.079 5035345.664,583146.582 5035362.379,583122.315 5035356.864,583151.079 5035345.664))",234
"POLYGON ((583428.232 5035233.953,583435.716 5035257.65,583364.559 5035284.81,583428.232 5035233.953))",235
"POLYGON ((584277.515 5035410.362,584296.847 5035416.858,584268.577 5035433.072,584277.515 5035410.362))",236
"POLYGON ((584324.493 5032614.954,584352.556 5032615.214,584374.382 5032658.191,584324.493 5032614.954))",237
"POLYGON ((584343.891 5032374.366,584387.893 5032355.379,584368.769 5032389.885,584343.891 5032374.366))",238
"POLYGON ((584368.769 5032389.885,584385.308 5032411.73,584368.354 5032435.616,584368.769 5032389.885))",239
"POLYGON ((584368.769 5032389.885,584395.702 5032379.926,584385.308 5032411.73,584368.769 5032389.885))",240
"POLYGON ((584395.702 5032379.926,584368.769 5032389.885,584387.893 5032355.379,584395.702 5032379.926))",241
"POLYGON ((584395.702 5032379.926,584387.893 5032355.379,584439.77 5032348.954,584395.702 5032379.926))",242
"POLYGON ((584386.348 5032442.494,584385.308 5032411.73,584416.073 5032432.932,584386.348 5032442.494))",243
"POLYGON ((584372.161 5032316.994,584407.017 5032332.513,584387.893 5032355.379,584372.161 5032316.994))",244
"POLYGON ((584368.354 5032435.616,584345.554 5032423.422,584368.769 5032389.885,584368.354 5032435.616))",245
"POLYGON ((584368.354 5032435.616,584386.348 5032442.494,584380.826 5032478.437,584368.354 5032435.616))",246
"POLYGON ((584357.194 5032473.311,584345.554 5032423.422,584368.354 5032435.616,584357.194 5032473.311))",247
"POLYGON ((584380.826 5032478.437,584386.348 5032442.494,584400.067 5032481.573,584380.826 5032478.437))",248
"POLYGON ((584380.826 5032478.437,584357.194 5032473.311,584368.354 5032435.616,584380.826 5032478.437))",249
"POLYGON ((584416.073 5032432.932,584416.073 5032494.461,584400.067 5032481.573,584416.073 5032432.932))",250
"POLYGON ((584380.826 5032478.437,584400.067 5032481.573,584401.522 5032490.304,584380.826 5032478.437))",251
"POLYGON ((584368.354 5032435.616,584385.308 5032411.73,584386.348 5032442.494,584368.354 5032435.616))",252
"POLYGON ((584357.194 5032473.311,584380.826 5032478.437,584362.183 5032513.221,584357.194 5032473.311))",253
